name,online_order,book_table,rate,votes,location,rest_type,cost2plates,category,grouped_cuisines
hotel rangoon,Yes,No,3.7,17,Ulsoor,Quick Bites,300.0,Dine-out,Fusion & Miscellaneous
bakers town,Yes,No,3.6,41,BTM,Cafe,600.0,Cafes,Western Cuisine
gangotree,No,No,3.8,51,Race Course Road,Quick Bites,150.0,Dine-out,Fusion/Contemporary Indian Cuisine
ooty chocolates,Yes,No,4.1,157,Koramangala 4th Block,Dessert Parlor,300.0,Delivery,Desserts & Beverages
russh gastropub,No,No,4.2,41,Church Street,Others,1100.0,Drinks & nightlife,Western Cuisine
shiv sagar,Yes,No,3.7,0,Brigade Road,Food Court,250.0,Delivery,North Indian Cuisine
combo box,Yes,No,3.0,20,Koramangala 7th Block,"Takeaway, Delivery",500.0,Delivery,North Indian Cuisine
salt - indian restaurant bar & grill,Yes,Yes,4.4,41,Koramangala 7th Block,Casual Dining,400.0,Dine-out,North Indian Cuisine
binge factory,No,No,3.7,0,Koramangala 1st Block,Quick Bites,400.0,Delivery,North Indian Cuisine
sree banashankari donne biriyani,Yes,No,3.7,0,Rajajinagar,Quick Bites,250.0,Delivery,North Indian Cuisine
salt mango tree,Yes,No,4.3,41,Whitefield,Casual Dining,1000.0,Dine-out,South Indian Cuisine
shyamali fast food kolkata style,No,No,3.7,0,Ejipura,Quick Bites,250.0,Dine-out,North Indian Cuisine
soul city,No,No,3.8,217,Lavelle Road,Casual Dining,400.0,Dine-out,North Indian Cuisine
ayda persian kitchen,Yes,No,3.9,224,Church Street,Casual Dining,950.0,Delivery,North Indian Cuisine
food and you,Yes,No,3.9,33,BTM,Quick Bites,350.0,Delivery,North Indian Cuisine
mother's food,Yes,No,3.8,63,Whitefield,Quick Bites,200.0,Delivery,North Indian Cuisine
nandi mess - feel like mom's,Yes,No,3.6,30,Whitefield,Quick Bites,250.0,Delivery,South Indian Cuisine
cafe cerrise,No,No,3.8,99,Ulsoor,Cafe,600.0,Delivery,Western Cuisine
cake inc.,No,No,3.7,0,Domlur,Bakery,450.0,Desserts,Desserts & Beverages
cupcake bliss,Yes,No,3.3,6,Brookefield,Bakery,250.0,Delivery,Fusion & Miscellaneous
balaji abhiruchi multicuisine restaurant,No,No,3.4,27,Marathahalli,Casual Dining,550.0,Dine-out,North Indian Cuisine
revoli hotel,No,No,3.1,21,Shanti Nagar,Casual Dining,450.0,Delivery,South Indian Cuisine
sweet moments express,Yes,No,3.7,18,Kammanahalli,Others,200.0,Desserts,Fusion/Contemporary Indian Cuisine
pappu bc,No,No,3.7,0,Shivajinagar,Quick Bites,300.0,Dine-out,North Indian Cuisine
punjabi swag,Yes,No,3.9,41,BTM,Casual Dining,500.0,Delivery,North Indian Cuisine
chetty's corner,Yes,No,3.6,21,Jayanagar,Quick Bites,150.0,Delivery,Fast Food & Street Food
ukiyo,No,No,3.7,0,BTM,Others,300.0,Delivery,Asian Cuisine
sai super sandwich,Yes,No,3.7,0,Banashankari,Quick Bites,200.0,Delivery,Fast Food & Street Food
brundhavana food point,Yes,No,4.0,191,Kumaraswamy Layout,Quick Bites,300.0,Delivery,North Indian Cuisine
ivy,Yes,No,3.8,210,Kumaraswamy Layout,Casual Dining,600.0,Delivery,North Indian Cuisine
delisias,No,No,3.7,0,Brigade Road,Bakery,400.0,Delivery,Fusion & Miscellaneous
rcs kitchen,Yes,No,3.3,34,BTM,Quick Bites,500.0,Delivery,Western Cuisine
tawa ghar ka,Yes,No,3.8,331,HSR,Quick Bites,350.0,Delivery,North Indian Cuisine
good bread,No,No,3.6,14,JP Nagar,Bakery,300.0,Desserts,Desserts & Beverages
coastal hub,Yes,Yes,4.0,364,Whitefield,Casual Dining,700.0,Dine-out,South Indian Cuisine
mirchi bites- spice heaven,Yes,No,2.7,12,Marathahalli,Casual Dining,650.0,Delivery,Mughlai & Hyderabadi Cuisine
cafe sulaimani,No,No,3.7,0,Kammanahalli,Quick Bites,300.0,Dine-out,South Indian Cuisine
nasi and mee,Yes,Yes,4.4,41,Koramangala 4th Block,Casual Dining,1000.0,Delivery,Asian Cuisine
dev sagar - food street,Yes,No,4.1,240,Basavanagudi,Quick Bites,200.0,Delivery,Fusion/Contemporary Indian Cuisine
the krishna grand,Yes,No,3.9,41,Banashankari,Casual Dining,750.0,Delivery,North Indian Cuisine
sai mango tree,Yes,No,3.6,45,BTM,Casual Dining,500.0,Dine-out,North Indian Cuisine
ambur hot dum biryani,No,No,3.3,8,Ejipura,Quick Bites,100.0,Delivery,Mughlai & Hyderabadi Cuisine
chai galli,Yes,No,4.1,41,Brookefield,Cafe,300.0,Cafes,Fusion/Contemporary Indian Cuisine
kudla beach,Yes,No,3.5,141,Rajajinagar,Quick Bites,400.0,Delivery,North Indian Cuisine
sakae japanese restaurant,No,Yes,4.3,41,Shanti Nagar,Casual Dining,400.0,Dine-out,Asian Cuisine
le charcoal xpress,Yes,No,3.8,70,Sarjapur Road,Quick Bites,500.0,Dine-out,North Indian Cuisine
awesome foods,Yes,No,3.7,26,BTM,Quick Bites,300.0,Dine-out,North Indian Cuisine
smokie brownie,Yes,No,3.2,7,Brigade Road,Cafe,600.0,Delivery,Fusion & Miscellaneous
new kabab zone,Yes,No,3.6,102,Bannerghatta Road,Quick Bites,500.0,Delivery,North Indian Cuisine
cooking restaurant,No,No,3.7,0,New BEL Road,Quick Bites,200.0,Dine-out,North Indian Cuisine
foodhall,Yes,No,3.8,28,Whitefield,Quick Bites,700.0,Dine-out,Fast Food & Street Food
smally's resto cafe,Yes,Yes,4.2,41,Koramangala 5th Block,Cafe,650.0,Delivery,Western Cuisine
natural ice cream,No,No,4.2,222,St. Marks Road,Dessert Parlor,200.0,Delivery,Desserts & Beverages
tree tops bar & kitchen,No,Yes,4.4,108,Lavelle Road,"Casual Dining, Bar",1000.0,Drinks & nightlife,North Indian Cuisine
kopper kadai,Yes,Yes,4.1,41,Koramangala 5th Block,Casual Dining,400.0,Delivery,North Indian Cuisine
venadu restaurant,No,No,3.4,7,Electronic City,Casual Dining,700.0,Dine-out,South Indian Cuisine
monkey bar,Yes,No,4.3,41,Indiranagar,Others,400.0,Pubs and bars,North Indian Cuisine
malabar cafe,No,No,3.7,0,Indiranagar,Quick Bites,350.0,Dine-out,South Indian Cuisine
best tea cafe,Yes,No,3.7,0,Frazer Town,Cafe,400.0,Cafes,Fusion & Miscellaneous
tiger trail - ramada hotel,Yes,Yes,4.0,189,Shivajinagar,"Casual Dining, Bar",400.0,Delivery,North Indian Cuisine
pot-o-noodles,No,Yes,4.3,164,Koramangala 4th Block,Casual Dining,800.0,Dine-out,Asian Cuisine
sotang's,No,No,3.3,9,Kammanahalli,Quick Bites,250.0,Delivery,North Indian Cuisine
jiyo natural,No,No,3.6,14,South Bangalore,Delivery,300.0,Delivery,North Indian Cuisine
rolls on wheels,No,No,3.2,15,BTM,Quick Bites,200.0,Delivery,Asian Cuisine
ashirvaad grand,Yes,No,4.0,113,BTM,Quick Bites,400.0,Delivery,North Indian Cuisine
cafe terra,Yes,No,4.2,391,Indiranagar,Cafe,500.0,Cafes,Western Cuisine
h3o,No,No,3.1,12,Kammanahalli,Bar,1000.0,Drinks & nightlife,North Indian Cuisine
pappu da dhaba,Yes,No,3.2,58,Jayanagar,Quick Bites,400.0,Dine-out,North Indian Cuisine
opus food stories,No,Yes,4.5,200,Sarjapur Road,Others,400.0,Dine-out,North Indian Cuisine
penthouse cafe,Yes,No,4.0,324,Banashankari,Cafe,700.0,Dine-out,Western Cuisine
indian chicken biryani point,Yes,No,3.3,9,Richmond Road,Quick Bites,300.0,Delivery,South Indian Cuisine
sahana's (nati style),Yes,No,3.7,47,Wilson Garden,Quick Bites,350.0,Delivery,North Indian Cuisine
thalassery restaurant,Yes,No,3.9,420,Kammanahalli,Casual Dining,800.0,Delivery,North Indian Cuisine
hotel vkm,Yes,No,3.7,0,BTM,Quick Bites,300.0,Dine-out,South Indian Cuisine
the chocolate heaven,Yes,No,3.1,186,Whitefield,Others,600.0,Desserts,Desserts & Beverages
bharathi refreshments,No,No,3.4,4,Koramangala 8th Block,Quick Bites,300.0,Dine-out,North Indian Cuisine
j spice,Yes,No,3.8,59,Banashankari,Casual Dining,750.0,Delivery,North Indian Cuisine
prerit's food factory,Yes,No,3.7,72,Indiranagar,Delivery,300.0,Delivery,North Indian Cuisine
kitchen online,No,No,3.3,6,Whitefield,"Takeaway, Delivery",300.0,Delivery,North Indian Cuisine
sharief bhai,No,Yes,4.3,267,Frazer Town,Casual Dining,700.0,Dine-out,North Indian Cuisine
funky punjab,Yes,No,3.9,124,BTM,Quick Bites,400.0,Dine-out,North Indian Cuisine
hyder ali kitchen,No,No,3.7,0,Bannerghatta Road,Quick Bites,300.0,Dine-out,Mughlai & Hyderabadi Cuisine
silicon spicy bite & sip,No,No,3.7,0,Electronic City,Quick Bites,200.0,Delivery,Fast Food & Street Food
make it roll,Yes,No,3.8,33,HSR,Quick Bites,400.0,Delivery,Fast Food & Street Food
soul indian specialty - svenska design hotel,Yes,Yes,3.7,266,Electronic City,Others,400.0,Delivery,North Indian Cuisine
abhiruchi moonlight,Yes,No,3.3,4,Bommanahalli,"Takeaway, Delivery",300.0,Delivery,North Indian Cuisine
smaaash,No,Yes,4.2,41,MG Road,Others,400.0,Pubs and bars,North Indian Cuisine
grand gowdru hotel,Yes,No,3.4,31,Koramangala 6th Block,Casual Dining,700.0,Dine-out,North Indian Cuisine
woodfire pizza,Yes,No,3.1,30,Thippasandra,Delivery,400.0,Delivery,Western Cuisine
new samrat restaurant,No,No,4.1,62,Seshadripuram,Casual Dining,450.0,Dine-out,North Indian Cuisine
nandhini deluxe,No,No,2.8,110,Sarjapur Road,Casual Dining,800.0,Delivery,North Indian Cuisine
l'inoui,Yes,No,4.1,33,Cunningham Road,Dessert Parlor,400.0,Desserts,Desserts & Beverages
annapurna foods,Yes,No,3.5,13,Bellandur,Casual Dining,600.0,Dine-out,North Indian Cuisine
eatwater,Yes,No,4.2,121,Lavelle Road,"Casual Dining, Bar",1000.0,Pubs and bars,Fusion & Miscellaneous
the brew - aurick boutique hotel,No,No,3.1,16,JP Nagar,Casual Dining,700.0,Dine-out,North Indian Cuisine
chetty's corner,Yes,No,3.6,18,Kammanahalli,Quick Bites,200.0,Delivery,Fast Food & Street Food
savoury restaurant,Yes,No,3.9,421,BTM,Casual Dining,800.0,Buffet,North Indian Cuisine
the caramelts cafe,No,No,4.2,223,Jayanagar,Cafe,800.0,Dine-out,Desserts & Beverages
the chariot,Yes,No,2.9,50,Brigade Road,Quick Bites,350.0,Dine-out,North Indian Cuisine
sunehri,No,No,3.8,67,Richmond Road,Casual Dining,500.0,Dine-out,South Indian Cuisine
kobe sizzlers,Yes,No,4.1,41,Brigade Road,Casual Dining,400.0,Dine-out,Western Cuisine
russh gastropub,No,No,4.2,41,Church Street,Others,1100.0,Dine-out,Western Cuisine
sakae japanese restaurant,No,Yes,4.3,41,Shanti Nagar,Casual Dining,400.0,Dine-out,Asian Cuisine
calicut durbar,Yes,No,3.9,58,Koramangala 7th Block,Quick Bites,500.0,Delivery,North Indian Cuisine
srinidhi real food,No,No,3.6,26,Vasanth Nagar,Quick Bites,200.0,Dine-out,South Indian Cuisine
choi choi momos,No,No,3.8,29,Brigade Road,Others,300.0,Delivery,Asian Cuisine
hotel karavali food point,Yes,No,3.8,219,Others,Quick Bites,400.0,Delivery,North Indian Cuisine
the chocolate room,Yes,No,3.9,205,HSR,Others,600.0,Desserts,Fast Food & Street Food
juicy & spicy,Yes,No,3.1,4,JP Nagar,Others,150.0,Delivery,Fast Food & Street Food
smoke - the sizzler house,No,No,3.3,4,Bellandur,Casual Dining,900.0,Delivery,Asian Cuisine
the teal door cafe,Yes,No,4.2,41,Indiranagar,Cafe,800.0,Dine-out,Western Cuisine
bombay sandwich company,Yes,No,3.0,40,Indiranagar,Delivery,400.0,Delivery,Fast Food & Street Food
toscano,Yes,Yes,4.4,41,Lavelle Road,Casual Dining,400.0,Dine-out,Western Cuisine
choo zi,No,No,3.7,0,Koramangala 5th Block,Delivery,300.0,Delivery,Asian Cuisine
muscat cafe,No,No,3.7,0,Marathahalli,Quick Bites,200.0,Dine-out,Fast Food & Street Food
amritsari kulcha bite,Yes,No,3.9,104,Ulsoor,Quick Bites,150.0,Delivery,North Indian Cuisine
nile garden restaurant,Yes,No,2.6,33,BTM,Casual Dining,500.0,Dine-out,North Indian Cuisine
feel@home,Yes,No,3.6,42,Marathahalli,"Takeaway, Delivery",300.0,Delivery,North Indian Cuisine
biryani feast,Yes,No,2.9,133,Marathahalli,Delivery,600.0,Delivery,North Indian Cuisine
mk dabbawala,No,No,3.7,0,Whitefield,Delivery,555.4,Delivery,North Indian Cuisine
new friends,Yes,No,3.8,273,BTM,Casual Dining,900.0,Delivery,North Indian Cuisine
the coffee bean & tea leaf,Yes,No,3.8,263,MG Road,Cafe,700.0,Dine-out,Fusion & Miscellaneous
"3b's - buddies, bar & barbecues",No,Yes,4.4,41,BTM,"Casual Dining, Bar",1100.0,Buffet,North Indian Cuisine
food singh,Yes,No,3.7,0,Frazer Town,Delivery,500.0,Delivery,North Indian Cuisine
bengali fun foods,Yes,Yes,3.9,65,BTM,Casual Dining,600.0,Dine-out,North Indian Cuisine
9 tea,No,No,3.7,0,Bannerghatta Road,"Takeaway, Delivery",200.0,Delivery,South Indian Cuisine
sbarro,No,No,3.4,16,Domlur,Quick Bites,500.0,Dine-out,Western Cuisine
cuppa,No,No,3.4,48,JP Nagar,Cafe,550.0,Dine-out,Fusion & Miscellaneous
baskin robbins,Yes,No,3.5,36,Church Street,Dessert Parlor,250.0,Desserts,Desserts & Beverages
kababish restaurant,Yes,No,3.6,15,BTM,Quick Bites,700.0,Dine-out,North Indian Cuisine
gud dhani,Yes,No,4.0,41,BTM,Casual Dining,500.0,Dine-out,North Indian Cuisine
fruit juice bar,No,No,3.7,0,Koramangala 6th Block,Delivery,300.0,Delivery,Desserts & Beverages
marunadan kada,No,No,3.3,6,BTM,Quick Bites,250.0,Dine-out,South Indian Cuisine
lassi shop,Yes,No,3.7,0,JP Nagar,Dessert Parlor,80.0,Delivery,Desserts & Beverages
scoops n smiles,Yes,No,3.3,7,Rajajinagar,Others,200.0,Delivery,Western Cuisine
iyer's tiffin centre,No,No,3.8,62,Banashankari,Quick Bites,150.0,Dine-out,South Indian Cuisine
shyvan restaurant,Yes,No,3.6,82,Shanti Nagar,Casual Dining,500.0,Delivery,North Indian Cuisine
sky juice corner,Yes,No,3.7,0,Koramangala 5th Block,Beverage Shop,100.0,Delivery,Desserts & Beverages
ubq by barbeque nation,Yes,No,3.6,17,Whitefield,Delivery,450.0,Delivery,North Indian Cuisine
tim tai,Yes,Yes,4.4,41,Koramangala 5th Block,Casual Dining,400.0,Dine-out,Asian Cuisine
potful,Yes,No,4.1,41,Domlur,Delivery,650.0,Delivery,North Indian Cuisine
santo's,Yes,No,3.7,0,Marathahalli,Food Court,500.0,Delivery,North Indian Cuisine
grigliato,Yes,No,3.9,41,HSR,Casual Dining,1000.0,Dine-out,Asian Cuisine
warm oven,Yes,No,3.8,69,Marathahalli,Bakery,500.0,Desserts,Desserts & Beverages
antilla aromas,Yes,No,3.7,20,Bannerghatta Road,Dessert Parlor,300.0,Delivery,Desserts & Beverages
soul treat,Yes,No,4.3,269,Sarjapur Road,Bakery,750.0,Delivery,Desserts & Beverages
chawla's 2 online.com,Yes,No,3.7,0,HSR,Delivery,800.0,Delivery,North Indian Cuisine
shanmukha,Yes,No,4.4,41,Jayanagar,Casual Dining,800.0,Delivery,North Indian Cuisine
new prashanth hotel,Yes,No,3.1,53,HSR,Casual Dining,750.0,Dine-out,North Indian Cuisine
king punjabi restaurant,No,No,3.8,53,BTM,Quick Bites,300.0,Dine-out,North Indian Cuisine
chinese corner,No,No,3.7,0,BTM,Quick Bites,300.0,Dine-out,Asian Cuisine
malabar xpress,Yes,No,3.7,0,Koramangala 5th Block,Quick Bites,300.0,Delivery,South Indian Cuisine
amma's pastries,No,No,3.9,54,New BEL Road,Dessert Parlor,400.0,Desserts,Desserts & Beverages
mcleans italian pizzeria,Yes,No,3.4,30,Ejipura,Delivery,500.0,Delivery,Western Cuisine
south treat,Yes,No,3.4,4,Whitefield,Food Court,400.0,Delivery,South Indian Cuisine
tea journey,Yes,No,3.8,71,Indiranagar,Cafe,500.0,Delivery,Fusion & Miscellaneous
supreme biryani,Yes,No,3.7,0,Ulsoor,Delivery,500.0,Delivery,Mughlai & Hyderabadi Cuisine
gam's delicacy,Yes,Yes,4.2,325,Koramangala 7th Block,Casual Dining,800.0,Dine-out,North Indian Cuisine
hungry vihaari,Yes,Yes,3.9,36,Kalyan Nagar,Casual Dining,800.0,Delivery,Western Cuisine
manna tasty foods,No,No,3.7,0,Hosur Road,Quick Bites,500.0,Dine-out,South Indian Cuisine
swagath authentic nati style,Yes,No,3.7,0,Indiranagar,Quick Bites,350.0,Delivery,South Indian Cuisine
toast and salad,Yes,No,3.6,24,New BEL Road,Quick Bites,300.0,Delivery,Healthy & Vegan
church street social,Yes,No,4.3,41,Church Street,Others,400.0,Delivery,North Indian Cuisine
new food magic,Yes,No,3.2,153,Electronic City,Casual Dining,450.0,Delivery,North Indian Cuisine
race course restaurant,Yes,No,3.2,9,Rajajinagar,Quick Bites,450.0,Delivery,North Indian Cuisine
story time,No,No,3.8,19,Bellandur,Others,500.0,Cafes,North Indian Cuisine
milk n shakes,Yes,No,3.8,48,Koramangala 8th Block,Beverage Shop,300.0,Delivery,Desserts & Beverages
new shanthi sagar,No,No,3.7,0,BTM,"Takeaway, Delivery",300.0,Delivery,North Indian Cuisine
karavali family restaurant,Yes,No,3.5,90,Jayanagar,Casual Dining,500.0,Delivery,North Indian Cuisine
juice magic,No,No,3.7,0,Brigade Road,Beverage Shop,100.0,Delivery,Desserts & Beverages
raja bhojaun,Yes,No,3.4,20,Marathahalli,"Takeaway, Delivery",250.0,Delivery,North Indian Cuisine
al kabab corner,No,No,3.7,0,Others,Quick Bites,350.0,Dine-out,North Indian Cuisine
dakshin flavors,Yes,No,3.1,206,HSR,Casual Dining,600.0,Dine-out,North Indian Cuisine
ayush reddy tiffins & fast food center,No,No,3.7,0,BTM,Quick Bites,300.0,Dine-out,South Indian Cuisine
shanmukha,Yes,No,4.0,41,Koramangala 5th Block,Casual Dining,800.0,Dine-out,North Indian Cuisine
bangalore brew works,No,Yes,4.3,41,Residency Road,Others,400.0,Dine-out,Western Cuisine
yummy biryani,Yes,No,3.8,41,Koramangala 7th Block,Quick Bites,200.0,Delivery,Mughlai & Hyderabadi Cuisine
up shawarma,Yes,No,3.4,13,Bellandur,Quick Bites,150.0,Dine-out,Fusion & Miscellaneous
stonelicious,Yes,No,4.1,284,Marathahalli,Dessert Parlor,300.0,Desserts,Desserts & Beverages
corprate biriyani adda,No,No,3.0,5,Whitefield,Casual Dining,500.0,Delivery,North Indian Cuisine
woodee pizza,Yes,No,2.7,85,JP Nagar,Cafe,500.0,Delivery,Western Cuisine
amber rush by the pool,No,No,3.9,140,Marathahalli,Others,400.0,Dine-out,North Indian Cuisine
new kabab plaza,Yes,No,3.7,135,BTM,Casual Dining,500.0,Dine-out,North Indian Cuisine
gowdru hotel,Yes,No,3.9,200,Indiranagar,Quick Bites,400.0,Delivery,South Indian Cuisine
cool bites,Yes,No,3.7,0,Koramangala 4th Block,Quick Bites,200.0,Delivery,Fast Food & Street Food
ambur hot dum biryani,No,No,3.3,8,Ejipura,Quick Bites,100.0,Delivery,Mughlai & Hyderabadi Cuisine
aubree le chocolatier,Yes,No,3.5,18,Koramangala 6th Block,Dessert Parlor,300.0,Delivery,Desserts & Beverages
ghee biryani house,Yes,No,3.1,7,BTM,Quick Bites,400.0,Delivery,North Indian Cuisine
atithi food park,Yes,No,3.7,0,Marathahalli,Casual Dining,450.0,Dine-out,North Indian Cuisine
whooppeezz,No,No,3.4,16,Whitefield,Food Court,500.0,Delivery,Western Cuisine
kirthi's biryani,Yes,No,3.8,144,Banashankari,Cafe,700.0,Desserts,Asian Cuisine
aarti paratha & rolls corner,Yes,No,3.6,15,New BEL Road,Quick Bites,200.0,Delivery,North Indian Cuisine
dine in restaurant,No,No,3.4,7,BTM,Quick Bites,500.0,Dine-out,North Indian Cuisine
panchami garden,No,No,3.5,56,Bannerghatta Road,Quick Bites,400.0,Dine-out,North Indian Cuisine
hotel metropole,No,No,2.9,18,Shivajinagar,Quick Bites,400.0,Dine-out,North Indian Cuisine
sri krishna upahar,No,No,3.7,0,Shivajinagar,Quick Bites,200.0,Dine-out,South Indian Cuisine
burrito boys,Yes,No,3.0,6,Bannerghatta Road,Others,400.0,Delivery,Fusion & Miscellaneous
chatori zuban,No,No,3.7,0,BTM,Quick Bites,200.0,Dine-out,North Indian Cuisine
juice shop,Yes,No,3.5,22,BTM,"Takeaway, Delivery",150.0,Delivery,Desserts & Beverages
mandya umesh nati style hotel,No,No,3.4,7,Marathahalli,Quick Bites,350.0,Delivery,South Indian Cuisine
ifun burgers n more,No,No,3.7,0,Banaswadi,Quick Bites,300.0,Dine-out,Fast Food & Street Food
hotel thansika,No,No,3.7,0,Bellandur,Quick Bites,200.0,Dine-out,South Indian Cuisine
gmt - gelateria montecatini terme,Yes,No,4.4,282,Indiranagar,Dessert Parlor,300.0,Delivery,Desserts & Beverages
combo king paramount,No,No,3.1,12,Jayanagar,Food Court,500.0,Dine-out,South Indian Cuisine
that garage cafe,Yes,No,3.1,100,HSR,Cafe,650.0,Delivery,Western Cuisine
andhra bhojanam,Yes,No,3.2,23,BTM,"Takeaway, Delivery",600.0,Delivery,North Indian Cuisine
sultan shah's restaurant,No,No,3.2,9,Shivajinagar,Quick Bites,200.0,Dine-out,North Indian Cuisine
gooey & fluffy,Yes,No,3.9,90,Thippasandra,Delivery,200.0,Desserts,Desserts & Beverages
bismillah hotel,No,No,3.7,0,Hennur,Quick Bites,250.0,Dine-out,North Indian Cuisine
fuel resto bar,No,No,4.2,38,Richmond Road,Bar,400.0,Dine-out,North Indian Cuisine
h3o,No,No,3.1,11,Indiranagar,Bar,1000.0,Dine-out,North Indian Cuisine
amontron,Yes,No,3.9,438,BTM,Casual Dining,650.0,Dine-out,East Indian Cuisine
green go,Yes,No,3.7,0,Bannerghatta Road,Beverage Shop,200.0,Delivery,Desserts & Beverages
royal beans,No,No,3.8,16,Yeshwantpur,Delivery,400.0,Delivery,Desserts & Beverages
ck's bakery,Yes,No,3.5,4,City Market,Bakery,200.0,Delivery,Fast Food & Street Food
hunger buds,No,No,3.5,10,BTM,Quick Bites,250.0,Dine-out,North Indian Cuisine
all aromas,Yes,No,4.3,0,Jayanagar,Quick Bites,400.0,Dine-out,North Indian Cuisine
chocolate junction,No,No,3.7,0,Bannerghatta Road,Dessert Parlor,200.0,Desserts,Desserts & Beverages
zaitoon,Yes,Yes,4.1,41,JP Nagar,Casual Dining,1000.0,Dine-out,North Indian Cuisine
confectionery chocolates,No,No,3.7,0,Koramangala 4th Block,"Takeaway, Delivery",500.0,Delivery,Fusion & Miscellaneous
cafe coffee day,Yes,No,2.9,37,Basaveshwara Nagar,Cafe,900.0,Dine-out,Fast Food & Street Food
copacabana pub,No,No,3.7,0,Ulsoor,Others,400.0,Drinks & nightlife,North Indian Cuisine
paratha plaza,No,No,3.8,184,HSR,Quick Bites,250.0,Dine-out,North Indian Cuisine
yo roll corner,No,No,3.0,27,Banashankari,Quick Bites,200.0,Dine-out,Fusion/Contemporary Indian Cuisine
artinci artisanal ice cream,Yes,No,3.5,7,HSR,Dessert Parlor,300.0,Desserts,Desserts & Beverages
bbq'd - global grill & brewery,No,No,4.3,465,Lavelle Road,Others,400.0,Buffet,North Indian Cuisine
no 10 fort cochin,Yes,Yes,3.8,194,St. Marks Road,Casual Dining,800.0,Delivery,South Indian Cuisine
punjabi handi,Yes,No,2.9,19,HSR,Quick Bites,400.0,Delivery,North Indian Cuisine
hungry walker,Yes,No,4.0,43,Indiranagar,Quick Bites,400.0,Delivery,Asian Cuisine
maruti garden,No,No,3.7,0,BTM,Casual Dining,500.0,Dine-out,North Indian Cuisine
citrus - the leela palace,No,Yes,4.2,41,Old Airport Road,Others,400.0,Dine-out,North Indian Cuisine
call a cake,Yes,No,3.6,41,BTM,Delivery,500.0,Desserts,Fusion & Miscellaneous
bamey's restro cafe,Yes,No,4.2,41,Koramangala 5th Block,Casual Dining,600.0,Delivery,Asian Cuisine
swagatham rayalaseema ruchulu,Yes,No,3.3,24,Kalyan Nagar,Casual Dining,600.0,Dine-out,Other
go native,Yes,Yes,4.3,41,Jayanagar,Others,800.0,Delivery,Desserts & Beverages
filmy kitchen,Yes,No,3.7,182,Bellandur,Quick Bites,400.0,Delivery,North Indian Cuisine
dallas hot & cold,No,No,3.7,0,JP Nagar,Quick Bites,300.0,Dine-out,Fast Food & Street Food
shake the shake,Yes,No,3.7,0,New BEL Road,Quick Bites,200.0,Delivery,Desserts & Beverages
salt - indian restaurant bar & grill,Yes,Yes,4.4,41,Koramangala 7th Block,Casual Dining,400.0,Buffet,North Indian Cuisine
rage chocolatier,No,No,3.7,0,Residency Road,Others,400.0,Desserts,Desserts & Beverages
tibetan mother's kitchen,Yes,No,4.0,41,Koramangala 7th Block,Casual Dining,500.0,Delivery,Asian Cuisine
foodmagic,No,No,3.7,0,JP Nagar,Quick Bites,600.0,Dine-out,North Indian Cuisine
cake box,Yes,No,3.5,98,Koramangala 8th Block,Bakery,400.0,Delivery,Desserts & Beverages
gods own cafe,Yes,No,4.4,384,Koramangala 7th Block,Quick Bites,300.0,Delivery,South Indian Cuisine
tunday kababi,Yes,No,3.9,41,Koramangala 5th Block,Casual Dining,500.0,Dine-out,North Indian Cuisine
kanis kitchen,No,No,3.6,14,Shivajinagar,Quick Bites,250.0,Dine-out,South Indian Cuisine
sri prasanna military hotel,No,No,3.7,0,Others,Quick Bites,250.0,Dine-out,South Indian Cuisine
the parotta master,Yes,No,2.9,43,Jeevan Bhima Nagar,Delivery,400.0,Delivery,South Indian Cuisine
pathaan sir,Yes,No,3.7,59,Kammanahalli,Quick Bites,300.0,Dine-out,Asian Cuisine
mr. cane,Yes,No,3.7,0,Bommanahalli,Beverage Shop,100.0,Delivery,Desserts & Beverages
masti masala,Yes,No,4.0,397,Rajajinagar,Quick Bites,450.0,Delivery,North Indian Cuisine
1q1,No,Yes,4.3,41,Infantry Road,"Casual Dining, Bar",400.0,Drinks & nightlife,Asian Cuisine
aathurar,Yes,No,3.3,41,Jeevan Bhima Nagar,Casual Dining,600.0,Dine-out,South Indian Cuisine
attic lounge,Yes,Yes,4.0,41,Koramangala 4th Block,Cafe,700.0,Delivery,Fusion & Miscellaneous
the lantern restaurant & bar - the ritz-carlton...,No,Yes,4.4,424,Residency Road,Others,400.0,Pubs and bars,Asian Cuisine
reddy's paradise,Yes,No,3.1,46,HSR,Casual Dining,700.0,Delivery,South Indian Cuisine
delicacy,Yes,No,3.9,41,Koramangala 4th Block,Casual Dining,500.0,Dine-out,Asian Cuisine
ovenstory pizza,Yes,No,4.0,68,Whitefield,Delivery,800.0,Delivery,Western Cuisine
punjabi kitchen,Yes,No,3.6,202,Whitefield,Quick Bites,400.0,Delivery,North Indian Cuisine
cake chemistry,Yes,No,3.7,0,Jayanagar,Bakery,500.0,Delivery,Desserts & Beverages
owl's kitchen,No,No,2.6,53,Sarjapur Road,Quick Bites,500.0,Dine-out,North Indian Cuisine
rawal jalebi,Yes,No,3.5,9,Commercial Street,Dessert Parlor,100.0,Desserts,Desserts & Beverages
delish mom food,No,No,3.7,0,Electronic City,Delivery,300.0,Delivery,North Indian Cuisine
sigree global grill,No,Yes,4.4,41,Kalyan Nagar,"Casual Dining, Bar",400.0,Delivery,North Indian Cuisine
